Frame,Exercise,Body Part,X,Y,Z
0,pushups,0,0.3905732333660126,0.396476149559021,-0.34925296902656555
0,pushups,1,0.37854912877082825,0.37506258487701416,-0.3814576268196106
0,pushups,2,0.37951770424842834,0.36964449286460876,-0.3814733922481537
0,pushups,3,0.38054266571998596,0.363755464553833,-0.3815399408340454
0,pushups,4,0.3760659694671631,0.37809014320373535,-0.3383799195289612
0,pushups,5,0.37533700466156006,0.3746102452278137,-0.3385203182697296
0,pushups,6,0.3745380938053131,0.3702360987663269,-0.33864524960517883
0,pushups,7,0.39364495873451233,0.3174278736114502,-0.43986940383911133
0,pushups,8,0.38611236214637756,0.31984764337539673,-0.24855220317840576
0,pushups,9,0.4096394181251526,0.38310956954956055,-0.36220934987068176
0,pushups,10,0.40665939450263977,0.38785800337791443,-0.30638694763183594
0,pushups,11,0.5031486749649048,0.31839874386787415,-0.4714635908603668
0,pushups,12,0.44203436374664307,0.32609790563583374,-0.09964916110038757
0,pushups,13,0.5296810865402222,0.5684651136398315,-0.5157671570777893
0,pushups,14,0.4425228238105774,0.5359670519828796,-0.02291007526218891
0,pushups,15,0.5275651812553406,0.8056004047393799,-0.5434194803237915
0,pushups,16,0.42832881212234497,0.7338468432426453,-0.09962814301252365
0,pushups,17,0.5094175338745117,0.8392486572265625,-0.6166658401489258
0,pushups,18,0.4006275534629822,0.7600688934326172,-0.113491952419281
0,pushups,19,0.49874982237815857,0.8311794996261597,-0.5968599319458008
0,pushups,20,0.40543484687805176,0.7629204392433167,-0.17064066231250763
0,pushups,21,0.5045486092567444,0.8195964694023132,-0.5398803353309631
0,pushups,22,0.41899704933166504,0.7572970390319824,-0.1265849769115448
0,pushups,23,0.689395546913147,0.3813822567462921,-0.1162826344370842
0,pushups,24,0.649346649646759,0.39824071526527405,0.1159173995256424
0,pushups,25,0.7954022884368896,0.5205215811729431,0.0938616394996643
0,pushups,26,0.7677929401397705,0.4849625527858734,0.3527493178844452
0,pushups,27,0.9147245287895203,0.5838748216629028,0.3114882707595825
0,pushups,28,0.8539336919784546,0.5221437215805054,0.6097227334976196
0,pushups,29,0.9448047876358032,0.5803487300872803,0.32804372906684875
0,pushups,30,0.8791862726211548,0.5115289688110352,0.6374837756156921
0,pushups,31,0.894601583480835,0.6946491003036499,0.25640514492988586
0,pushups,32,0.8534843921661377,0.6298996806144714,0.6182023882865906
1,pushups,0,0.3869726359844208,0.4002368450164795,-0.315898060798645
1,pushups,1,0.37472018599510193,0.37691810727119446,-0.34520503878593445
1,pushups,2,0.3757385015487671,0.3713051676750183,-0.3452377915382385
1,pushups,3,0.37682798504829407,0.3653244078159332,-0.3453053832054138
1,pushups,4,0.372243732213974,0.37957143783569336,-0.3070482313632965
1,pushups,5,0.37148457765579224,0.37569093704223633,-0.30720219016075134
1,pushups,6,0.3706047832965851,0.3709467947483063,-0.30734169483184814
1,pushups,7,0.39051416516304016,0.31956586241722107,-0.39872002601623535
1,pushups,8,0.3827269375324249,0.3232521712779999,-0.22981883585453033
1,pushups,9,0.4055827260017395,0.38397571444511414,-0.32809677720069885
1,pushups,10,0.4028555154800415,0.38871097564697266,-0.2787213623523712
1,pushups,11,0.5020833015441895,0.31784844398498535,-0.4241338074207306
1,pushups,12,0.4392607808113098,0.3252967894077301,-0.09780506044626236
1,pushups,13,0.531384289264679,0.5686545968055725,-0.4463958740234375
1,pushups,14,0.4432568848133087,0.5308688282966614,-0.014526129700243473
